"url";"sheet_name";"year";"sector";"fuel";"cols";"start_row"
"https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/296230/MSOA_non-domestic_electricity_estimates__2012_.xlsx";"MSOA non-domestic elec 2012";2012;"nondomestic";"electricity";"4";3
"https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/296237/MSOA_non_-_domestic_gas_estimates__2012_.xlsx";"MSOA non-domestic gas";2012;"nondomestic";"gas";"4";3
"https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/296234/MSOA_domestic_electricity_estimates__2012_.xlsx";"MSOA domestic electricity 2012";2012;"domestic";"electricity";"4,5";3
"https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/296241/MSOA_domestic_gas_estimates__2012_.xlsx";"MSOA domestic gas";2012;"domestic";"gas";"4";3
"https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/303114/MSOA_non-domestic_electricity_estimates__2011_.xlsx";"MSOA non-domestic elec 2011";2011;"nondomestic";"electricity";"4";3
"https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/303113/MSOA_non-domestic_gas_estimates__2011_.xlsx";"MSOA non-domestic gas 2011";2011;"nondomestic";"gas";"4";3
"https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/303110/MSOA_domestic_electricity_estimates__2011_.xlsx";"MSOA domestic electricity 2011";2011;"domestic";"electricity";"4,5";3
"https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/303112/MSOA_domestic_gas_estimates__2011_.xlsx";"MSOA domestic gas (2011)";2011;"domestic";"gas";"4";3
"https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/49425/4830-mlsoa-non-dom-elec-2010-alldata.xls";"MLSOA Non-domestic Electricity";2010;"nondomestic";"electricity";"4";3
"https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/49427/4831-mlsoa-non-dom-gas-2010-alldata.xls";"Non-domestic gas MLSOA";2010;"nondomestic";"gas";"4";3
"https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/49424/4828-mlsoa-dom-elec-2010-alldata.xls";"MLSOA Domestic Electricity";2010;"domestic";"electricity";"4,5";3
"https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/49426/4842-mlsoa-dom-gas-2010-all-data.xls";"MLSOA Domestic Gas";2010;"domestic";"gas";"4";3
