"name";"lad";"scotex"
"Aberdeen City";"S12000033";100
"Aberdeenshire";"S12000034";110
"Angus";"S12000041";120
"Argyll & Bute";"S12000035";130
"Clackmannanshire";"S12000005";150
"Dumfries & Galloway";"S12000006";170
"Dundee City";"S12000042";180
"East Ayrshire";"S12000008";190
"East Dunbartonshire";"S12000045";200
"East Lothian";"S12000010";210
"East Renfrewshire";"S12000011";220
"Edinburgh, City of";"S12000036";230
"Eilean Siar";"S12000013";235
"Falkirk";"S12000014";240
"Fife";"S12000015";250
"Glasgow City";"S12000046";260
"Highland";"S12000017";270
"Inverclyde";"S12000018";280
"Midlothian";"S12000019";290
"Moray";"S12000020";300
"North Ayrshire";"S12000021";310
"North Lanarkshire";"S12000044";320
"Orkney Islands";"S12000023";330
"Perth & Kinross";"S12000024";340
"Renfrewshire";"S12000038";350
"Scottish Borders";"S12000026";355
"Shetland Islands";"S12000027";360
"South Ayrshire";"S12000028";370
"South Lanarkshire";"S12000029";380
"Stirling";"S12000030";390
"West Dunbartonshire";"S12000039";395
"West Lothian";"S12000040";400
